stars,text
3,                          375 starstwo books post gamechanger and i have to wonder would any followup to me before you be impressive enough to rival the thoughtprovoking circumstances or raw emotion louisa and wills story evoked from the masses at this point i think not the takeaway here¡Xsome things should be left to stand on their ownwhy jojo moyes felt compelled to take a story as emotionally charged as me before you and drag it out to a trilogy i¡¦ll never understand was it a burning desire on her part to  375 starstwo books post gamechanger and i have to wonder would any followup to me before you be impressive enough to rival the thoughtprovoking circumstances or raw emotion louisa and wills story evoked from the masses at this point i think not the takeaway here¡Xsome things should be left to stand on their ownwhy jojo moyes felt compelled to take a story as emotionally charged as me before you and drag it out to a trilogy i¡¦ll never understand was it a burning desire on her part to continue louisa¡¦s story that led to after you book 2 or more of an opportunity to exploit the success of me before you is it possible still me book 3 was viewed as a chance to right all of the squandered opportunities we suffered through in after you or again more of a sales play either way i won¡¦t deny this third installment was a much more enjoyable read than the prior although arguably unnecessary in the grand scheme of things regardless of the fact that me before you is a book i¡¦ve recommended more than any other i hesitated to commit to still me and for good reason within the 370 pages of after you jojo moyes created a scenario that worked against it¡¦s predecessor tainting the memory of one of the most pivotal and adored characters the crutch she rested on felt cheap overused and left me secondguessing my feelings for the original story let me tell you that¡¦s a wretched place to be not to mention lou¡¦s storyline failed to advance enough to even justify the sequel making after you feel like little more than a throwaway third time book is a charm well sort of this is more in line with what i initially envisioned for a continuation of lous story but its far from perfect with this final installment lets hope jojo moyes captures that version of lou readers initially fell for¡Xthe quirky clothes horse who stood out in a crowd for simply being herself¡Xand delivers a journey of self discoverythis story lacks a bit in the emotional depth department specifically with regards to the relationships and people lou surrounds herself with but it was entertaining enough to keep me engaged what i didnt like a few of the storylines felt unresolved agnes quite a few characters felt inconsistent josh sam and mrs de witt and the messages along the way were a bit muddled if youre even remotely considering this one i would say go for it even if for nothing other than the times lou reminisces about will the snippets of will throughout¡Xletters written to his mother from his own time in new york and his anecdotes about life that pop up when lou needs them most¡Xacted as a salve of sorts healing some of my past disappointments and reigniting those feelings i experienced with their unforgettable beginningregardless of the fact that this go round with lou was a much more positive experience than the last i feel strongly that this should be the final goodbye to the eccentric londoner new yorker lets just hope jojo moyes and her publisher agree  more                  
3,                          i think at some point dear youre going to have to work out who louisa clark isi dont think there needed to be a trilogy i really dont let me start by saying i loved loved loved me before you it literally blew me away i read it twice and have seen the movie three times i think it is moyes swan song it doesnt get any better than that  which is why the two books which followed could not live up to their predecessorin this book we see our muchloved louisa clarke moving to new yor  i think at some point dear youre going to have to work out who louisa clark isi dont think there needed to be a trilogy i really dont let me start by saying i loved loved loved me before you it literally blew me away i read it twice and have seen the movie three times i think it is moyes swan song it doesnt get any better than that  which is why the two books which followed could not live up to their predecessorin this book we see our muchloved louisa clarke moving to new york city to be the assistant to a wealthy young socialite a socialite who is not much liked by others in her social circles as her husband was once married to their friend a friend he divorced to marry his much younger massage therapist before she is even over her jet lag louisa is running in central park shopping and attending fancy social events she is thrown into a glamorous life one that is much different from the life she lived in england with her paramedic boyfriend samwhile out and about she meets a man named josh ryan who bears a striking resemblance to someone from her past they form a friendship while louisa pines for sam and throws herself into the nyc high society social circle louisa continues to be quirky and finds herself in various situations both comedic and sad there will be misunderstandings new friends broken hearts miscommunication deceit and mayhemin this book louisa takes wills advice from me before you ¡§you only get one life its actually your duty to live it as fully as possible¡¨ she does take chances and tries to be her own person but sadly it didnt really pay off for me in this book it was a solid 3star book for me i hoped it would be better i cant fault he writing the writing is good but the story lagged in places for me again i think she should have left well enough alone good not great thank you to penguin group viking and netgalley who provided me with a copy of this book in exchange for an honest reviewsee more of my reviews at wwwopenbookpostcom   more                  
5,                          why am i just finding out about this more lou hell yeaheditso hallelujah i finally finished this book ive been so busy lately and had so little time left for reading but i did it do i think we needed a third book honestly no am i glad we go a third book absolutelylouisa clark is a character that will probably stay with you forever i mean hell i still think about me before you till this day and i never regret going into this series i love it im always delighted to know about h  why am i just finding out about this more lou hell yeaheditso hallelujah i finally finished this book ive been so busy lately and had so little time left for reading but i did it do i think we needed a third book honestly no am i glad we go a third book absolutelylouisa clark is a character that will probably stay with you forever i mean hell i still think about me before you till this day and i never regret going into this series i love it im always delighted to know about her and her life its like going on an adventure to be honest its an amazing experienceso in this book we learn about the next stage in louisas new life new york we learn in the second book about her new job as a personal assistant and we get to explore it in this book so you can imagine how life must be for her english woman living alone in new york away from her boyfriend sam with no relatives whatsoever except for nathan who seems to have built a life for himself there so she cant exactly rely on him the story follows her life there as an immigrant struggling to meet ends for her employer while also trying to cope with the changes in her life following wills words  youre going to feel uncomfortable in your new world for a bit it always does feel strange to be knocked out of your comfort zonefollowing a new series of events lou finds herself facing other challenges trying to make something out of herself and not just the plain louisa clark from stortfold  i think at some point dear youre going to have to work out who louisa clark really is i loved that part especially it was nice seeing her embracing her real identity and staying true to herself whats even more exciting was seeing sam stands by her side all this time i was obsessed with the lettersoverall i think this book was really a nice addition and it makes up for the second book i was hooked from the start and it gave lous story a nice closure and the happy ending she totally deserves  more                  
5,                           hello again louisa clark  new york new york  books teach you empathy i enjoyed a lot reading this book since after three novels counting this one louisa clark is already a literary character that it¡¦s always a wonderful experience to read aboutlouisa clark goes to her next phase in her life this time leaving her native england to go to work at new york she has to leave her family her friends and her boyfriend ambulance sam only nathan is with her since it was him who helped her    hello again louisa clark  new york new york  books teach you empathyi enjoyed a lot reading this book since after three novels counting this one louisa clark is already a literary character that it¡¦s always a wonderful experience to read aboutlouisa clark goes to her next phase in her life this time leaving her native england to go to work at new york she has to leave her family her friends and her boyfriend ambulance sam only nathan is with her since it was him who helped her to get the job as personal assistant of the new wife of a very important and rich man living at the famous fifth avenue but you will get to know several places around the city that never sleeps becoming another resident there as well as loujojo¡¦s narrative which turn into the very voice and thoughts of louisa take us to new york in a way that you can watch each building you can feel each street you can taste each weathersomething that i love about jojo moyes¡¦ books at least louisa clark¡¦s saga that you learn empathy as the chosen quote clearly indicates since you never has to rush to conclusions about the people that you meet the same as in the first book and the second one too characters that maybe get your nerves you need to be patient since you never know how relevant an unexpected character can be for the fate of louisa clark¡K¡Kthe same as our own livesyou have to be true to yourself don¡¦t look for doing bad things on purpose to others never look for revenge keep your soul and heart clean and don¡¦t look for unnecesary enemies since life will give you enough unavoidable foes for ¡§helping¡¨ to add others to the list even since life doesn¡¦t help you giving people ¡§white hats¡¨ or ¡§black hats¡¨ life isnt like an old western movie where isnt that hard to know who is good or bad out therethere are people that it¡¦s easy to know that can be a valuable friendship for you but others won¡¦t be so easy to recognize¡K¡Kbe cautious think before talk and always do what you think is right  there¡¦s always somethinglou keeps trying her best to do her tasks in the best possible way and certainly she will put to test when duty and righteousness will become one single mess not making easy to know how to act at certain timesalso lou will have to be strong about her own personality and the little things that made her like what truly is and don¡¦t betray herself only louisa clark can be louisa clark and the literary world would be a sad place without her in the same way only you can be you in our world so don¡¦t make changes in your very foundation of what makes you youmoreover beside to learn about the new life of lou in new york you¡¦ll be able to learn about the clark family and the traynors too after three books counting this one they¡¦re like part of our own family too since it has been quite a journey since we meet for the first time to lou when she was fired from the coffee shop never imagining all the stuff that she¡¦ll do from then on and all the incredible people that will get into lou¡¦s lifefor better or worse always modeling into unexpected levels the life of our lou  your life ¡V it¡¦s never quite is it lovethank you jojo for giving us once again lou and being able to walk sidebyside with her for a third time  more                  
5,                          i absolutely loved me before you and after you so i was delighted to read the first chapter of still me reading about louisa is like meeting an old friend i was hooked from the first sentence and cant wait to read the rest of the book it was lovely to find out that she is in new york starting a new job and still the same adorable character thank you jojo moyes for bringing louisa back to us                  
4,                          few people can leave me emotionally jumbled quite like jojo moyes can the first book of hers i read  me before you  literally had me ugly crying and ill admit a healthy sob or two while reading its sequel  after you  even one of moyes standalone books  the girl you left behind  left me puffyeyednow louisa clark returns in a third book  still me  while not as sobinducing as the first two moyes still knows how to play my feelings like a piano and it was wonderful to be back with t  few people can leave me emotionally jumbled quite like jojo moyes can the first book of hers i read   me before you literally had me ugly crying and ill admit a healthy sob or two while reading its sequel   after you even one of moyes standalone books   the girl you left behind left me puffyeyednow louisa clark returns in a third book   still me while not as sobinducing as the first two moyes still knows how to play my feelings like a piano and it was wonderful to be back with these characters ive come to know over the last few yearslou once promised someone special to her that shed live boldly but after rebuilding her life following crushing grief shes finally gotten the courage to do just that accepting a job working for an ultrarich family in new york city she leaves her family and her boyfriend behind and heads to america ready to say yes to everything life has to offer heryoure going to feel uncomfortable in your new world for a bit it always does feel strange to be knocked out of your comfort zoneworking as the assistant to agnes gopnik the muchyounger second wife of a tremendously wealthy financier and philanthropist louisa gets to see firsthand that you can have everything youve dreamed of and yet still be crushingly unhappy agnes loathes being on public display judged by the gossipy vindictive friends of her husbands first wife yet she is forced to travel in the same social circles she knows her stepdaughter hates her knows their housekeeper likes nothing more than to torment her yet she finds a kindred spirit in louisa in that theyre both struggling to be present in two very different worldsyou always have one foot in two places you can never be truly happy because from the moment you leave you are two selves and wherever you are one half of you is always calling to the other this is our price louisa this is the cost of who we areit isnt easy juggling her responsibilities with thinking about her boyfriend and her family back home all of whom seem to have made great strides in their lives since shes been gone louisa likes being in the middle of fancy new york society but sees how it could feel so lonely and sometimes is torn between the glitz and glamour and the more comforting security she feels at an endangered library in washington heights or a vintage clothing store which helps feed her unique fashion sensewhen louisa finds herself in an untenable position because of secrets that have been shared with her she is unsure where to turn a situation not helped by her anxieties over her foundering relationship with her boyfriend at home it takes meeting two people¡Xan elderly woman who knows all about doing it your own way no matter the cost and a wealthy young man who reminds her of someone she misses dearly¡Xto show her the choices she needs to make and the importance of remaining true to who you arethe key was making sure that anyone you allowed to walk beside you didnt get to decide which you were and pin you down like a butterfly in a case the key was to know that you could always somehow find a way to reinvent yourself again  still me was really enjoyable and definitely poignant in places its a powerful meditation on being true to yourself no matter how many people want you to do otherwise and the struggles doing so may cause its also a story about the importance of saying what you think of expressing how you feel which these characters were definitely not good at or else what occurs around you might not be what you wantedthere arent a lot of surprises in this book¡Xthere were many times when something happened and i thought to myself ah so this will happen at some point and i wasnt ever wrong but that didnt bother me as much as it might with other books because these characters are so engaging and moyes storytelling just draws you in and feels comfortable and familiar you could read this book without reading the first two but you have no idea what youre missing particularly with   me before you  still me didnt quite blow me away but i devoured the book anyway louisa is just one of those characters you root for even as shes making missteps and its so good to spend more time with her and her family again this is a series that keeps on giving¡Xthe feels that is see all of my reviews at itseithersadnessoreuphoriablogspotcom or check out my list of the best books i read in 2017 at httpsitseithersadnessoreuphoriablogspotcom201801thebestbooksireadin2017html  more                  
4,                          i am a louisa clark fani have enjoyed all three books in this series and i wish louisa was a personal friend of mine following her ups and downs and all the things she learns along the way is a real treat each book she brings something along from the previous books but each book also stands on its owni will say that i think i enjoyed this one more than after you something about the story made it feel more like a direct sequel to me before you not that i was hoping it would be or that be  i am a louisa clark fani have enjoyed all three books in this series and i wish louisa was a personal friend of mine following her ups and downs and all the things she learns along the way is a real treat each book she brings something along from the previous books but each book also stands on its owni will say that i think i enjoyed this one more than after you something about the story made it feel more like a direct sequel to me before you not that i was hoping it would be or that being like the first makes it better it was just nice to return to a story that felt like what i remembered from the firstfor sequels the question is often asked do i need to read the previous books i think that this one offers enough background from the earlier books and doesnt lean too much on their content so that you could read this without the others if you really wanted to but i think that it is worth giving the whole series a goif you are into slightly cheesy tear jerkers that warm your soul and tug the heart strings acquaint yourself with louisa clark  i gaurantee you wont regret it  more                  
4,                            why this book  i enjoyed the first two books in the me before you series then i won the third one still me by jojo moyes in a goodreads giveaway i was quite excited and nervous as i adored the first book but thought the second was just decentgood i am very glad to say this third one is much closer to the first  approach  style  i read an advance copy of this 378 page paperback novel in about 5 hours during a two day period it goes very quickly as the story is quite intriguing        why this book  i enjoyed the first two books in the me before you series then i won the third one still me by jojo moyes in a goodreads giveaway i was quite excited and nervous as i adored the first book but thought the second was just decentgood i am very glad to say this third one is much closer to the first      approach  style  i read an advance copy of this 378 page paperback novel in about 5 hours during a two day period it goes very quickly as the story is quite intriguing  the writing feels effortlessly natural its broken into 35 chapters which makes each about ten pages long the book is told in first person pov with the perspective focused on louisa a few chapters have letters emails or news articles to help push the story forward its the third in a series and wellworth the read to spend with the brilliance of the characters and the backdrop      plot characters  setting  louisa moves to park avenue in nyc to help her friend nathan who looks after an upper class family shell be a friend or assistant to agnes the younger secondwife of mr gopnik who was mentioned in the second book there are various other staff in the gopnik household and apartment building who louisa interacts with as well as some new friends she makes in nyc lou goes home for christmas to visit her parents and sister as well as continues to date sam the paramedic from prior books the story is about her acclimation to a different kind of life than she had in england as well as the process to help her figure out who she wants to be despite all thats happened to her she still has more to learn i love that about this story theres romance mystery secrets friendships touristy fun and decisions to make      key thoughts  jojo moyes is a phenomenal storyteller i adore her characters settings and scenes i may be partial as i know a lot of the places in the book since it takes place in nyc however even when lou is just wandering around with no real plot its brilliant writing the setting is always described in the perfect amount of detail with just enough for my imagination to fill in the blanksthe characters are very real and familiar ive seen them before in reality and other books but theres something special about their dialogue and how they relate to one another in this book i whipped so fast through still me as i just couldnt put it down you think ill just spend 30 minutes before bed then find yourself 200 pages in and ready for morelous journey is a combination of the first two books it takes the reality from the second book with the emotions from the first book then smashes them together in a final wrapper on discovering what makes lou still mei cant say enough good things about this book i wont spoil the ending but that may be the only thing that i was a little eh on in terms of how she ends up relationshipwise in this book she struggles with longdistance sam meets someone new and has to figure out whats right for her part of me saw a different ending but this one still worked ultimately i love lou she might be one of my favorite literary characters      summary  i will definitely pick up another moyes book after the three in this series i know shes an author i will enjoy for many years im grateful to the friend who introduced me to this series   more                  
4,                           we who travelled far from home would always have our hearts in two places i was so pleasantly surprised by this one i didnt think much of book 2 and i absolutely adored book 1 so i honestly didnt know what to expectlou has taken her new and exciting job in new york and moved her life over there meanwhile her handsome boyfriend sam remains at home in storfold at over 400 pages i was worried there wouldnt be enough plot to keep me interested but heck i was wrongwe follow lou as she s   we who travelled far from home would always have our hearts in two places i was so pleasantly surprised by this one i didnt think much of book 2 and i absolutely adored book 1 so i honestly didnt know what to expectlou has taken her new and exciting job in new york and moved her life over there meanwhile her handsome boyfriend sam remains at home in storfold at over 400 pages i was worried there wouldnt be enough plot to keep me interested but heck i was wrongwe follow lou as she settles into her new job as personal assistant to agnes gopnik new wife to the awfully rich leonard gopnik  much to his exwifes dismayto begin with lou and agnes get on like an absolute house of fire lou is invited to all the swanky new york events and gets to discover an entirely different lifestylehowever nothing good ever lasts with lou and suddenly she finds her entire world thrown upside down throw in the longdistance dramas with sam and i was hooked the parts with sam really got to me as i know first hand how godawful distance can be for a relationship and i desperately wanted things to work out for them for the first time since i had arrived in america i had an almost physical sense of being in the wrong place as if i were being tugged by invisible cords to somewhere a million miles away overall i loved all the new characters we are introduced to including the doorman and his family the 2 girls who run the vintage clothes store and the elderly neighbour with her mental dogi love lou as a character she is so ridiculously relatable and i see parts of myself in her it was wonderful to see her story continue she deserves happiness and i am glad that jojo moyes gave it to her 3 i think at some point dear youre going to have to figure out who louisa clark really is this was so bloody sweet attempts to blink back tears but failsrtc <U+0001F62D>  more                  ndering around with no real plot its brilliant writing the setting is always described in the perfect amount of detail with just enough for my imagination to fill in the blanksthe characters are very real and familiar ive seen them before in reality and other books but theres something special about their dialogue and how they relate to one another in this book i whipped so fast through still me as i just couldnt put it down you think ill just spend 30 minutes before bed then find yourself 200 pages in and ready for morelous journey is a combination of the first two books it takes the reality from the second book with the emotions from the first book then smashes them together in a final wrapper on discovering what makes lou still mei cant say enough good things about this book i wont spoil the ending but that may be the only thing that i was a little eh on in terms of how she ends up relationshipwise in this book she struggles with longdistance sam meets someone new and has to figure out whats right for her part of me saw a different ending but this one still worked ultimately i love lou she might be one of my favorite literary characters      summary  i will definitely pick up another moyes book after the three in this series i know shes an author i will enjoy for many years im grateful to the friend who introduced me to this series   more                  
4,                          4 starslouisa clark has arrived in new york that is her old friend nathan has gotten her a job as an assistant to agnes gopnik a wealthy married woman who has trouble fitting in and who more than anything needs a friend for louisa its an opportunity to see the world and to do what will always told her to do and this time louisa takes it new york new york for lou however moving to new york has brought about lots of challenges lou has to leave sam  her new boyfriend and though they  4 starslouisa clark has arrived in new york that is her old friend nathan has gotten her a job as an assistant to agnes gopnik a wealthy married woman who has trouble fitting in and who more than anything needs a friend for louisa its an opportunity to see the world and to do what will always told her to do and this time louisa takes it new york new york for lou however moving to new york has brought about lots of challenges lou has to leave sam  her new boyfriend and though they agreed to try a long distance relationship  it turns out to be quite the bumpy ride but then with louisa you¡¦d expect nothing less while in new york louisa meets someone a man who reminds her of her will and it throws louisa for a loop and when sam sees him it throws him for one too new york is both everything and nothing like louisa clark expected she has to fight for what she wants and fight hard and in doing so louisa finally finds what she has been lacking her sense of self in my opinion ¡§still me¡¨ by jojo moyes far surpassed ¡§after you¡¨ though nothing compares to the first book in the series ¡§me before you¡¨ i am glad that i continued on and read about louisa clark¡¦s next adventure as there is something utterly endearing about ms clark i listened to the audiobook of this novel and it rocked i highly recommend itpublished on goodreads amazon and twitter on 31018  more                  
5,                          madre de dios que manera de escribir tiene esta mujer aun estoy sufriendo y asimilando lo que queda detras de las palabras sencillamente precioso un oda a la vida y al carpe diem                  
5,                          audiobooknarrated by anna actonlouisa clarkeadorable integrity girl is charming as can be in ¡§still me¡¨vintage clothing oh my gosh ¡¦of course¡¦ authentic garments  authentic girl are both alternatives to be admired and loveddean martinis that the best dog¡¦s name or what for london girl living in new york for the first timekiss kiss kiss<U+0001F48B><U+0001F48B><U+0001F48B>¡§me before you¡¨5 stars ¡§after you¡¨3 stars¡§still me¡¨ 45 stars                 sam  her new boyfriend and though they  4 starslouisa clark has arrived in new york that is her old friend nathan has gotten her a job as an assistant to agnes gopnik a wealthy married woman who has trouble fitting in and who more than anything needs a friend for louisa its an opportunity to see the world and to do what will always told her to do and this time louisa takes it new york new york for lou however moving to new york has brought about lots of challenges lou has to leave sam  her new boyfriend and though they agreed to try a long distance relationship  it turns out to be quite the bumpy ride but then with louisa you¡¦d expect nothing less while in new york louisa meets someone a man who reminds her of her will and it throws louisa for a loop and when sam sees him it throws him for one too new york is both everything and nothing like louisa clark expected she has to fight for what she wants and fight hard and in doing so louisa finally finds what she has been lacking her sense of self in my opinion ¡§still me¡¨ by jojo moyes far surpassed ¡§after you¡¨ though nothing compares to the first book in the series ¡§me before you¡¨ i am glad that i continued on and read about louisa clark¡¦s next adventure as there is something utterly endearing about ms clark i listened to the audiobook of this novel and it rocked i highly recommend itpublished on goodreads amazon and twitter on 31018  more                  
4,                          3755this is the 3rd book in the me before you series  i was pleasantly surprised i didnt love it but i enjoyed it i am a huge fan of louisa  her personality and i enjoyed the journey she took in this novel i didnt love the 2nd book after you so i did go into this one with a little hesitation but it was a sweet book about discovering yourself i dont know if it needed to be written but i enjoyed the story nonetheless i didnt love the ending but overall like i keep saying it w  3755this is the 3rd book in the me before you series  i was pleasantly surprised i didnt love it but i enjoyed it i am a huge fan of louisa  her personality and i enjoyed the journey she took in this novel i didnt love the 2nd book after you so i did go into this one with a little hesitation but it was a sweet book about discovering yourself i dont know if it needed to be written but i enjoyed the story nonetheless i didnt love the ending but overall like i keep saying it was an adorable quirky book  more                  
3,                                      this review has been hidden because it contains spoilers to view it                    click here                                            long review ahead read at your own discretion i do sincerely hope jojo moyes reads this i understand me before you has a fond place in many peoples heart im sure most have heard or seen its movie make in the entirety of the series i can truthfully say this is the most unfulfilling saddening book because it has done an injustice to its protagonist louisa clark deserves better across these books its impossible not to notice that she has the kindest most selfless heart yet she cont  long review ahead read at your own discretion i do sincerely hope jojo moyes reads this i understand me before you has a fond place in many peoples heart im sure most have heard or seen its movie make in the entirety of the series i can truthfully say this is the most unfulfilling saddening book because it has done an injustice to its protagonist louisa clark deserves better across these books its impossible not to notice that she has the kindest most selfless heart yet she continues to fall in love with selfish men men who ultimately are charming but in likeness are also bullies her selflessness is her downfall because she leaves behind her pride and her own sense of selfs value to be stomped onme before you revolves around louisa becoming the companion of will traynor a man who is paralysed and permanently stuck in a cynical state what initially begins as a hateful employeremployee relationship slowly transforms into friendship and later love until we come to a penultimate ending where will commits euthanasia it was the rawest book i have ever read saying that i was not blind to wills flaws and the way he incessantly reminded louisa that she was this small town girl who simply had to live whereby his definition of living included an exploration of the world yes louisa blossomed under new experiences but there was an almost manipulative quality to the way he would push her sometimes as if should she not strive for all these new things with this potential he has noticed in her then she simply accepts to being a no body theres an emphasis on how louisa would never be an object of lust  i say the word object loosely but rather one of love someone who you dont take notice of instantaneously but mould in order to love he fit her into a brighter new shiny model of louisa clark it seemed to me no one accepts lou as she is me after you begins eighteen months after wills suicide louisa is stuck in a spiral of grief unable to grasp her footing on how she will fulfil the promise she made to will the promise to live and experience new things the shift in herself only begins after she unexpectedly meets the sixteen year old daughter will never knew he had and somewhere amongst the chaos she begins to date a paramedic named sam quite possibly the least romantic and least passionate man to star as a leading hero in a book in still me louisa finally sets off in search for an adventure in new york with a new job shes bright eyed and positive and fearless i admire lous fearlessness shes not home sick yet there is an acute loss of the people in her life and a homely atmosphere ¡§you always have one foot in two places you can never be truly happy because from the moment you leave you are two selves and wherever you are one half of you is always calling to the other this is our price louisa this is the cost of who we are¡¨the long distance relationship between herself and sam has become a strain no one puts in effort with louisa and they only do once they have lost her and suddenly see her value it is quite possibly the most real and disheartening thing to read about she begged sam in the first three months of her move that he write her emails and letters and update her on all the small bits of his life so they are still there for one another but hes very dismissive of her wishes and puts little to no emotional effort in their relationship instead when he comes down to visit her he pushes blame that she has left him and changed in this new place it seemed he was determined to sour any of the time they did spend together he doesnt appreciate any of the small things she does to keep him in her life and it was this very ignorance that made me resent him because it is the recipe to a relationship ending instead lou learns he has a new female partner at work and as information filters through alongside what can only be called a womans intuition lou knows this lady named kate clearly is into sam yet when louisa announces her feelings sam blows up at her instead he gets jealous over a man named josh who was helpful when she was stuck in a tricky situation a man who resembles will in looks only lou who cuts josh off out of deference to sam once she realises that he bothers him yet he does not pay her the same curtesy instead he goes out with katie to bars they take close body to body pictures they have drinks he goes over to her flat fixing her wardrobe spending working hours in the company of a woman who is interested is almost understandable yet spending nonworking hours in the company of a woman who you know bothers your girlfriend clearly shows you do not respect her wishes those are not the actions of a boyfriend but of a man looking for the opportunity to cheat when louisa returns earlier than expected for christmas and plans to surprise sam she witnesses this¡§she walked across the carriage saying something unclear her voice muffled by the glass her hair clipped up and tumbling in soft curls around her face she was wearing a man¡¦s tshirt ¡V his ¡V and holding a wine bottle and i saw him shake his head and then as he bent over the stove she walked up behind him and placed her hands on his neck leaning towards him and rubbing the muscles around it with small circular motions of her thumbs a movement that seemed born of familiarity her thumbnails were painted deep pink as i stood there my breath stalled in my chest he leant his head back his eyes closed as if surrendering himself to her fierce little handsand then he turned to face her smiling his head tilted to one side and she stepped back laughing and raised a glass to him¡¨this is one of the points when i respected lou because she breaks it off in one sweep ¡§i¡¦m sorry¡¦ he said finally ¡¥about the other night i never wanted to ¡K well it was badly judged¡¦i shook my head i couldn¡¦t speak any more¡¥i didn¡¦t sleep with her if you won¡¦t hear anything else i do need you to hear that¡¦¡¥you said ¡V¡¦he looked up¡¥you said ¡K nobody would ever hurt me again you said that when you came to new york¡¦ my voice emerged from somewhere in my chest ¡¥i never thought for a moment you would be the one to do it¡¨and sam just lets her go just as he tried to keep her without passion no one really listens to louisa in her life her boyfriend her family hell maybe even will when he was alive no one appreciates her for who she is not really lou later dates josh who again tries to change her she accommodates him changing her style trying to fit into the model of a corporate girlfriend to me louisa loses her sense of individuality when she is coupled off with a man doing whatever she can to sate and please him yet this behaviour does not extend to herself from her partner and only when sam learns that she is dating josh does he begin to write letters wanting her back after months and do you know what that showed me as a reader that he was more concerned about a prospective man and louisas attention and life moving further away than he was preoccupied with her and who she is i suppose he did end up with katie and it didnt work out but the situation wasnt explained there at all other than a few short sentences in a letter¡§i¡¦m not with katie i wasn¡¦t when i last saw you i don¡¦t want to say too much but it became clear pretty quickly that we are very different people and that i had made a huge mistake if i¡¦m honest i think i knew it from the start¡¨it wasnt a mistake it was sacrilege and if lou had any pride she wouldnt have given him a second chance only at the end does louisa take control of her life and go after a career that truly makes her happy the return of sam and their reunion was the possibly worst ending for me it was a grave injustice to the spark that is louisa clark she should have left him and his fucking fuckery self behind looking towards the future not having to continuously rely or need a man but being her own independent loveable self she never needed sam or josh she just needed the catalyst that was will  more                  
